Quarter,Date,Revenue,Gross_Profit,Operating_Income,Net_Income,Gross_Margin,Operating_Margin,Revenue_Growth_YoY,Gross_Margin_Delta_YoY,Operating_Margin_Delta_YoY,Cash,Total_Debt,Total_Equity,Current_Assets,Current_Liabilities,Total_Assets,Deferred_Revenue,Net_Debt,Debt_to_Equity,Current_Ratio,ROE,Asset_Turnover,Revenue_Recognition_Quality,Deferred_Revenue_Growth_YoY,TTM_Revenue,TTM_Gross_Profit,TTM_Operating_Income,TTM_Gross_Margin,TTM_Operating_Margin,TTM_Net_Income
2023 FQ1,2023-03-31,1837800.0,164000.0,59400.0,24700.0,0.08923713135270432,0.03232125367286973,0.17288914417001724,0.004675257589222284,0.006410219146097126,318700.0,775200.0,1655500.0,4175899.9999999995,2925000.0,5468100.0,,456500.0,0.46825732407127757,1.4276581196581195,0.01491996375717306,0.33609480441103856,,,,,,,,
2023 FQ2,2023-06-30,1939400.0,184600.0,87800.0,55500.0,0.09518407754975766,0.04527173352583273,0.12939669228977405,0.007890809438879487,0.008758805503470746,360700.0,783400.0,1680600.0,4196600.0,2936000.0,5500500.0,,422700.0,0.46614304415089847,1.4293596730245233,0.03302392002856123,0.35258612853376964,,,,,,,,
2023 FQ3,2023-09-30,2043300.0,206700.0,117400.0,80200.0,0.10115988841579797,0.05745607595556208,0.06239276243955701,0.013966002906517047,0.016692804495051505,353100.0,790300.0,1736300.0,4425700.0,3096600.0,5745300.0,,437200.0,0.455163278235328,1.4292126848801912,0.04619017450901342,0.35564722468800586,,,,,,,,
2023 FQ4,2023-12-31,2140500.0,223200.0,109200.0,91600.0,0.10427470217238963,0.05101611772950245,0.0479291099578968,0.013116374550730961,0.01106703322935558,370400.0,675300.0,1771000.0,4510600.0,3220500.0,5890500.0,,304900.0,0.3813099943534726,1.4005899705014748,0.05172219085262564,0.3633817163228928,,,7961000.0,778500.0,373800.0,0.09778922245949001,0.04695390026378596,252000.0
2024 FQ1,2024-03-31,2208900.0,222100.0,125800.0,91800.0,0.1005477839648694,0.05695142378559464,0.20192621612797912,0.011310652612165073,0.024630170112724906,308100.0,832700.0,1711500.0,4326800.0,3046900.0,5717100.0,,524600.0,0.4865322816243062,1.4200662968919229,0.053637160385626645,0.38636721414703257,,,8332100.0,836600.0,440200.0,0.10040686021531187,0.05283181910922816,319100.0
2024 FQ2,2024-06-30,2391900.0,253800.0,132900.0,95000.0,0.10610811488774614,0.05556252351686943,0.23331958337630196,0.010924037337988482,0.010290789991036699,434000.0,951800.0,1803400.0,4431900.0,3011100.0,5882400.0,,517800.0,0.5277808583786182,1.4718541396831724,0.05267827437063325,0.40661974704202364,,,8784600.0,905800.0,485300.0,0.10311226464494684,0.055244404981444804,358600.0
2024 FQ3,2024-09-30,2499500.0,260600.00000000003,138000.0,89500.0,0.1042608521704341,0.05521104220844169,0.22326628493123868,0.0031009637546361296,-0.0022450337471203938,398500.0,941100.0,1819700.0,4468700.0,3036800.0,5926800.0,,542600.0,0.5171731604110568,1.4715160695468914,0.04918393141726658,0.42172842005804145,,,9240800.0,959700.0,505900.0,0.10385464461951346,0.05474634230802528,367900.0
2024 FQ4,2024-12-31,2545700.0,297200.0,202600.0,151700.0,0.1167458852182111,0.07958518285736732,0.1893015650548937,0.012471183045821468,0.02856906512786487,423300.0,796700.0,1896000.0,4512200.0,3021400.0,5988200.0,,373400.0,0.42020042194092827,1.4934136493016483,0.08001054852320676,0.4251194014895962,,,9646000.0,1033700.0,599300.0,0.10716359112585527,0.062129380053908355,428000.0
2025 FQ1,2025-03-31,2648600.0,273900.0,128800.00000000001,86200.0,0.10341312391452089,0.048629464622819606,0.19905835483724932,0.002865339949651491,-0.008321959162775033,303000.0,941700.0,1556800.0,4376500.0,3054200.0,5834900.0,,638700.0,0.6048946557040082,1.4329447973282692,0.05536998972250771,0.4539238033213937,,,10085700.0,1085500.0,602300.0,0.10762763120061077,0.05971821489832139,422400.0
2025 FQ2,2025-06-30,2893400.0,371000.0,272500.0,211000.0,0.12822285200801825,0.09417985760696758,0.20966595593461265,0.022114737120272107,0.03861733409009815,313800.0,875200.0,1757900.0,4771000.0,3320800.0,6241100.0,,561400.0,0.4978667728539735,1.4367019995181884,0.12002958074975824,0.46360417234141416,,,10587200.0,1202700.0,741900.0,0.1135994408342149,0.07007518512921264,538400.0
2025 FQ3,2025-09-30,3194000.0,416100.0,325000.0,267800.0,0.13027551659361303,0.10175328741390106,0.2778555711142228,0.02601466442317893,0.046542245205459375,305900.0,784100.0,2028600.0,5142800.0,3502300.0,6606700.0,,478200.0,0.3865227250320418,1.4684064757445108,0.13201222517992706,0.48344862033995795,,,11281700.0,1358200.0,928900.0,0.12038965758706578,0.08233688185291224,716700.0
2025 FQ4,2025-12-31,3654900.0,433100.0,314400.0,267500.0,0.11849845413007196,0.08602150537634409,0.43571512746985114,0.0017525689118608606,0.0064363225189767725,595600.0,776500.0,2216300.0,5673200.0,3939600.0,7213100.0,,180900.0,0.35035870595136037,1.4400446745862525,0.12069665658981185,0.5067030818926676,,,12390900.0,1494100.0,1040700.0,0.12058042595775932,0.08398905648500109,832500.0
