Quarter,Date,Revenue,Gross_Profit,Operating_Income,Net_Income,Gross_Margin,Operating_Margin,Revenue_Growth_YoY,Gross_Margin_Delta_YoY,Operating_Margin_Delta_YoY,Cash,Total_Debt,Total_Equity,Current_Assets,Current_Liabilities,Total_Assets,Deferred_Revenue,Net_Debt,Debt_to_Equity,Current_Ratio,ROE,Asset_Turnover,Revenue_Recognition_Quality,Deferred_Revenue_Growth_YoY,TTM_Revenue,TTM_Gross_Profit,TTM_Operating_Income,TTM_Gross_Margin,TTM_Operating_Margin,TTM_Net_Income
2022 FQ4,2022-12-31,274700.0,206912.0,-50691.0,-45917.0,0.7532289770658901,-0.1845322169639607,,,,,,,,,,,,,,,,,,,,,,,
2023 FQ1,2023-03-31,290175.0,219743.0,-47272.0,-38082.0,0.7572775049539071,-0.16290858964418023,,,,256363.0,1437355.0,652586.0,1954400.0,444505.0,2667564.0,252260.0,1180992.0,2.202552613755122,4.396800935872488,-0.05835552708761757,0.10877902085948078,0.8693374687688464,,,,,,,
2023 FQ2,2023-06-30,308494.0,233273.0,-56172.0,-94467.0,0.7561670567336803,-0.18208457863037855,,,,159318.0,1281383.0,641834.0,1818060.0,473118.0,2533208.0,286839.0,1122065.0,1.9964398894418183,3.842719997970908,-0.14718291645503354,0.12177997227231242,0.9298041452994223,,,,,,,
2023 FQ3,2023-09-30,335603.0,257534.0,-39212.0,-23535.0,0.7673769304803593,-0.11684043348837764,,,,94143.0,1282372.0,699257.0,1858003.0,477775.0,2589910.0,311454.0,1188229.0,1.8339065608209857,3.8888660980587098,-0.03365715323550569,0.1295809506894062,0.9280429555158923,,1208972.0,917462.0,-193347.0,0.758877790387205,-0.15992678076911623,-202001.0
2023 FQ4,2023-12-31,362473.0,279190.0,-42829.0,-27865.0,0.7702366796975223,-0.11815776623362292,0.31952311612668366,0.017007702631632204,0.06637445073033776,86864.0,1283362.0,763047.0,1983077.0,567084.0,2759767.0,364852.0,1196498.0,1.6818911548043567,3.4969722298636534,-0.036518065073317896,0.1313418850214529,1.0065632474694668,,1296745.0,989740.0,-185485.0,0.7632495209158315,-0.14303891667212906,-183949.0
2024 FQ1,2024-03-31,378602.0,293564.0,-54550.0,-35543.0,0.775389459115377,-0.14408270426463674,0.3047367967605755,0.018111954161469934,0.018825885379543494,254401.0,1284352.0,797224.0,2016172.0,574059.0,2801630.0,373888.0,1029951.0,1.611030275054439,3.5121337702222246,-0.044583454587418345,0.13513633134996414,0.9875489300109349,0.4821533338618885,1385172.0,1063561.0,-192763.0,0.7678187257611329,-0.13916177918698905,-181410.0
2024 FQ2,2024-06-30,400996.0,311985.0,-34698.0,-15078.0,0.7780252172091492,-0.0865295414418099,0.29985024019916107,0.021858160475468846,0.09555503718856866,156967.0,1285342.0,881545.0,2093018.0,595965.0,2916673.0,394547.0,1128375.0,1.4580560266350555,3.511981408304179,-0.017104061619089214,0.1374840443203609,0.9839175453121727,0.3754998448607058,1477674.0,1142273.0,-171289.0,0.7730209775633868,-0.11591799003027732,-102021.0
2024 FQ3,2024-09-30,430082.0,334115.0,-30794.0,-15331.0,0.7768634818476476,-0.07160029947777401,0.28152012943865223,0.009486551367288376,0.04524013401060363,182883.0,1286332.0,973090.0,2163878.0,641615.0,3062746.0,411785.0,1103449.0,1.3219044487149185,3.3725489584875668,-0.015754966138794974,0.14042365903016443,0.9574569500699867,0.3221374585010949,1572153.0,1218854.0,-162871.0,0.7752769609573623,-0.10359742340599165,-93817.0
2024 FQ4,2024-12-31,459946.0,351260.0,-34719.0,-12848.0,0.7636983471972797,-0.07548494823305345,0.26891106372060813,-0.006538332500242605,0.042672818000569476,147691.0,1287321.0,1046201.0,2268997.0,793654.0,3301162.0,499860.0,1139630.0,1.2304719647562945,2.8589246699443334,-0.012280622939568974,0.13932851523190926,1.0867797524057172,0.3700349730849769,1669626.0,1290924.0,-154761.0,0.773181538859601,-0.09269201605629045,-78800.0
2025 FQ1,2025-03-31,479087.0,363511.0,-53247.0,-38454.0,0.7587578039061799,-0.1111426525871084,0.2654106423103946,-0.016631655209197183,0.03294005167752834,204459.0,1288311.0,1425878.0,2624291.0,821009.0,3721259.0,535649.0,1083852.0,0.9035211988683464,3.1964217201029466,-0.026968646686462656,0.12874325597868894,1.1180620638840126,0.4326456051009928,1770111.0,1360871.0,-153458.0,0.7688054590926784,-0.08669399828598319,-81711.0
2025 FQ2,2025-06-30,512316.0,383639.0,-67264.0,-50446.0,0.7488327516610842,-0.13129396700473928,0.2776087542020369,-0.029192465548064983,-0.04476442556292938,1518608.0,3260506.0,1239727.0,4405831.0,857593.0,5562361.0,582503.0,1741898.0,2.630019351034542,5.137438155395391,-0.04069121669528856,0.09210405437547113,1.1369994300392727,0.47638430909372015,1881431.0,1432525.0,-186024.0,0.7614018265883787,-0.09887367647285497,-117079.0
2025 FQ3,2025-09-30,562027.0,415711.0,-37460.0,-1290.0,0.7396637528090287,-0.0666516021472278,0.3067903330062639,-0.0371997290386189,0.004948697330546203,1052644.0,1972707.0,1347016.0,4536765.0,2223183.0,5786395.0,644878.0,920063.0,1.4645015352453126,2.040661969797358,-0.0009576723661782785,0.09712904148437844,1.1474146259877194,0.5660551015699941,2013376.0,1514121.0,-192690.0,0.7520309172255952,-0.09570492545853333,-103038.0
