Quarter,Date,Revenue,Gross_Profit,Operating_Income,Net_Income,Gross_Margin,Operating_Margin,Revenue_Growth_YoY,Gross_Margin_Delta_YoY,Operating_Margin_Delta_YoY,Cash,Total_Debt,Total_Equity,Current_Assets,Current_Liabilities,Total_Assets,Deferred_Revenue,Net_Debt,Debt_to_Equity,Current_Ratio,ROE,Asset_Turnover,Revenue_Recognition_Quality,Deferred_Revenue_Growth_YoY,TTM_Revenue,TTM_Gross_Profit,TTM_Operating_Income,TTM_Gross_Margin,TTM_Operating_Margin,TTM_Net_Income
2023 FQ1,2022-04-30,487834.0,361002.0,-23883.0,-31523.0,0.740009921407692,-0.048957227253532964,,,,2152736.0,739889.0,1102541.0,2733058.0,1497103.0,3835835.0,1692597.0,-1412847.0,0.6710761776659553,1.8255644401220223,-0.028591226992919085,0.12717804597955856,3.469616713882181,,,,,,,
2023 FQ2,2022-07-31,535153.0,394586.0,-48307.0,-49285.0,0.7373330617599079,-0.09026764308524851,,,,2318858.0,740261.0,1225419.0,2975980.0,1649250.0,4154236.0,1844152.0,-1578597.0,0.6040880711005786,1.8044444444444445,-0.040218896557014376,0.12882103953651164,3.4460275846346744,,,,,,,
2023 FQ3,2022-10-31,580882.0,422654.0,-56422.0,-54956.0,0.7276073281664779,-0.09713160332046784,,,,2466551.0,740633.0,1314289.0,3203613.0,1817053.0,4469443.0,2015539.0,-1725918.0,0.5635236998864025,1.7630817593102677,-0.04181424329047873,0.12996742547113813,3.4697907664551493,,,,,,,
2023 FQ4,2023-01-31,637367.0,461763.0,-61500.0,-47481.0,0.7244852651612023,-0.09649071884801064,,,,2455369.0,741005.0,1463641.0,3640267.0,2109072.0,5026540.0,2355113.0,-1714364.0,0.5062751043459428,1.7260041383129643,-0.032440332021308506,0.12680034377524102,3.6950657941186162,,2241236.0,1640005.0,-190112.0,0.7317413248760951,-0.08482462355593075,-183245.0
2024 FQ1,2023-04-30,692580.0,523350.0,-19456.0,491.0,0.7556527765745473,-0.0280920615668948,0.4197042436566537,0.015642855166855374,0.020865165686638164,2829677.0,741377.0,1605301.0,3708770.0,2080064.0,5137858.0,2403791.0,-2088300.0,0.4618305227493162,1.783007638226516,0.00030586164214686215,0.13479936580575017,3.470777383118196,0.42017916846124626,2445982.0,1802353.0,-185685.0,0.7368627406088842,-0.07591429536276227,-151231.0
2024 FQ2,2023-07-31,731626.0,548709.0,-15373.0,8472.0,0.7499856484050594,-0.021012101811581328,0.3671342588007542,0.012652586645151565,0.06925554127366718,3167215.0,741750.0,1838207.0,4050386.0,2229463.0,5520458.0,2507642.0,-2425465.0,0.403518210952303,1.8167540793455643,0.004608838939248953,0.13252994588492475,3.4274916419044703,0.35978053869746096,2642455.0,1956476.0,-152751.0,0.7404008772145599,-0.057806471633386376,-93474.0
2024 FQ3,2023-10-31,786014.0,591010.0,3163.0,26665.0,0.7519077268343821,0.004024101351884317,0.3531388474767681,0.024300398667904233,0.10115570467235216,2968872.0,742122.0,2028950.0,4079133.0,2350417.0,5831056.0,2543116.0,-2226750.0,0.36576652948569455,1.735493318845124,0.013142265703935533,0.1347978822360821,3.235458910401087,0.26175479611161084,2847587.0,2124832.0,-93166.0,0.7461868592601385,-0.03271752539957515,-11853.0
2024 FQ4,2024-01-31,845335.0,636763.0,29671.0,53699.0,0.7532670479750632,0.03509969420407294,0.3262923872745216,0.0287817828138609,0.13159041305208358,3375069.0,742494.0,2303950.0,4757307.0,2697279.0,6646520.0,3054099.0,-2632575.0,0.3222700145402461,1.763743016573369,0.023307363441046898,0.1271846018668416,3.6128860156032814,0.29679510070217435,3055555.0,2299832.0,-1995.0,0.7526724277586232,-0.0006529092096198563,89327.0
2025 FQ1,2024-04-30,921036.0,696033.0,6936.0,42820.0,0.7557066173309187,0.007530650267741978,0.3298622541800225,5.384075637138164e-05,0.03562271183463678,3702437.0,742866.0,2535540.0,4841622.0,2683686.0,6841985.0,3069379.0,-2959571.0,0.29298137674814834,1.8040940706177995,0.01688792131064783,0.13461531996927792,3.3325288045201273,0.27689096098620886,3284011.0,2472515.0,24397.0,0.7528948593655745,0.007429025055031789,131656.0
2025 FQ2,2024-07-31,963872.0,726471.0,13658.0,47013.0,0.7537006988479799,0.014169931277182033,0.3174381446258061,0.00371505044292042,0.03518203308876336,4038536.0,743238.0,2852915.0,5181648.0,2728319.0,7202474.0,3093197.0,-3295298.0,0.2605188026982928,1.899209000120587,0.01647893470362769,0.1338251273104214,3.209136690348926,0.23350821209726108,3516257.0,2650277.0,53428.0,0.7537210732890116,0.015194566267482723,170197.0
2025 FQ3,2024-10-31,1010178.0,755091.0,-55723.0,-16822.0,0.7474831168368347,-0.05516156558547108,0.28519084901795644,-0.004424609997547457,-0.05918566693735539,4260324.0,743610.0,3057933.0,5572327.0,3000380.0,7782958.0,3196518.0,-3516714.0,0.24317406561883467,1.8572070871023003,-0.005501101561087179,0.12979358233720392,3.1643116361670915,0.256929687831778,3740421.0,2814358.0,-5458.0,0.7524174417799494,-0.0014591940319017564,126710.0
2025 FQ4,2025-01-31,1058538.0,784548.0,-85301.0,-92282.0,0.7411618666500399,-0.08058378631659893,0.25221125352670837,-0.012105181325023251,-0.11568348052067187,4323295.0,743983.0,3279494.0,6113345.0,3461050.0,8701578.0,3728677.0,-3579312.0,0.22685908252919507,1.766326692766646,-0.028139097068023297,0.12164896987649826,3.5224781727250227,0.22087627152885353,3953624.0,2962143.0,-120430.0,0.749222232564351,-0.030460660902503628,-19271.0
