Quarter,Date,Revenue,Gross_Profit,Operating_Income,Net_Income,Gross_Margin,Operating_Margin,Revenue_Growth_YoY,Gross_Margin_Delta_YoY,Operating_Margin_Delta_YoY,Cash,Total_Debt,Total_Equity,Current_Assets,Current_Liabilities,Total_Assets,Deferred_Revenue,Net_Debt,Debt_to_Equity,Current_Ratio,ROE,Asset_Turnover,Revenue_Recognition_Quality,Deferred_Revenue_Growth_YoY,TTM_Revenue,TTM_Gross_Profit,TTM_Operating_Income,TTM_Gross_Margin,TTM_Operating_Margin,TTM_Net_Income
2023 FQ1,2023-03-31,117564.0,60254.0,-47275.0,-44687.0,0.5125208397128372,-0.402121397706781,,,,348463.0,705378.0,958555.0,661640.0,125200.0,1862410.0,0.0,356915.0,0.7358763972854975,5.284664536741214,-0.04661912983605531,0.06312466105744707,0.0,,,,,,,
2023 FQ2,2023-06-30,122831.0,64214.0,-49827.0,-10704.0,0.5227833364541524,-0.40565492424550803,,,,273742.0,472369.0,987754.0,505142.0,131604.0,1657418.0,0.0,198627.0,0.4782253476067928,3.8383483784687393,-0.010836706305416126,0.07410985038173834,0.0,,,,,,,
2023 FQ3,2023-09-30,127816.0,66086.0,-58342.0,-54311.0,0.5170401201727484,-0.45645302622519873,,,,270300.0,472823.0,968572.0,551458.0,143335.0,1640663.0,0.0,202523.0,0.48816505123005827,3.84733665887606,-0.056073270753232596,0.07790509080780147,0.0,,,,,,,
2023 FQ4,2023-12-31,137777.0,75774.0,-42584.0,-23386.0,0.5499756853466108,-0.30907916415657183,,,,107921.0,343507.0,979488.0,463673.0,147694.0,1525191.0,0.0,235586.0,0.35070057009376326,3.1394166316844285,-0.02387573916168447,0.0903342597746774,0.0,,505988.0,266328.0,-198028.0,0.526352403614315,-0.3913689652719037,-133088.0
2024 FQ1,2024-03-31,133520.0,73234.0,-46260.0,-43427.0,0.5484871180347514,-0.34646494907130015,0.1357218196046409,0.035966278321914125,0.05565644863548086,150809.0,343837.0,991806.0,460210.0,120227.0,1505923.0,0.0,193028.0,0.3466776768843907,3.82784233158941,-0.04378578068694886,0.08866323178542329,0.0,,521944.0,279308.0,-197013.0,0.5351302055392916,-0.37746003402663886,-131828.0
2024 FQ2,2024-06-30,132371.0,72901.0,-46734.0,-43729.0,0.5507324111776749,-0.3530531611908953,0.0776676897525869,0.027949074723522482,0.05260176305461273,147196.0,344167.0,981187.0,450955.0,109302.0,1482672.0,0.0,196971.0,0.3507659600055851,4.125770800168341,-0.04456744738770489,0.08927868065222787,0.0,,531484.0,287995.0,-193920.0,0.5418695576912945,-0.3648651699768949,-164853.0
2024 FQ3,2024-09-30,137206.0,74740.0,-40590.0,-38016.0,0.5447283646487763,-0.2958325437663076,0.07346498091005821,0.027688244476027912,0.16062048245889116,217514.0,344498.0,969454.0,453058.0,114208.0,1471754.0,0.0,126984.0,0.3553526005359718,3.9669550294200056,-0.03921382551415539,0.09322617774437848,0.0,,540874.0,296649.0,-176168.0,0.5484623036049061,-0.3257098695814552,-148558.0
2024 FQ4,2024-12-31,140579.0,75063.0,-34331.0,-32886.0,0.5339559962725585,-0.2442114398309847,0.02033721158103312,-0.016019689074052268,0.06486772432558713,286175.0,337614.0,965250.0,440195.0,104456.0,1451359.0,0.0,51439.0,0.3497684537684538,4.214166730489393,-0.03406993006993007,0.09686025304559381,0.0,,543676.0,295938.0,-167915.0,0.5443278717471435,-0.3088512275693612,-158058.0
2025 FQ1,2025-03-31,144474.0,76798.0,-38179.0,-39148.0,0.5315696942010327,-0.2642620817586555,0.08204014379868184,-0.016917423833718637,0.08220286731264465,125484.0,337745.0,957023.0,452570.0,300885.0,1449245.0,0.0,212261.0,0.3529121034708675,1.5041294846868405,-0.04090601793269336,0.09968914848766082,0.0,,554630.0,299502.0,-159834.0,0.5400032454068479,-0.28818131006256426,-153779.0
2025 FQ2,2025-06-30,148709.0,81116.0,-36943.0,-37541.0,0.5454679945396714,-0.2484247759046191,0.12342582589842185,-0.005264416638003477,0.10462838528627622,82487.0,337934.0,942647.0,464663.0,312803.0,1463177.0,0.0,255447.0,0.35849474936004677,1.485481277353478,-0.039825088288617055,0.10163432038639207,0.0,,570968.0,307717.0,-150043.0,0.5389391349427639,-0.26278705636743216,-147591.0
2025 FQ3,2025-09-30,158223.0,92329.0,-28788.0,-29483.0,0.5835371595785694,-0.1819457348173148,0.15317843243006865,0.03880879492979317,0.11388680894899278,113131.0,338125.0,936965.0,479784.0,328915.0,1470602.0,0.0,224994.0,0.36087260463304394,1.4586868947904474,-0.03146649021041341,0.10759063295167558,0.0,,591985.0,325306.0,-138241.0,0.5495173019586644,-0.23352111962296343,-139058.0
2025 FQ4,2025-12-31,172612.0,105960.0,-15090.0,-15505.0,0.6138623038954418,-0.08742150024332028,0.22786475931682543,0.07990630762288331,0.1567899395876644,180563.0,323282.0,929578.0,506709.0,193998.0,1499477.0,35234.0,142719.0,0.3477728603732016,2.611928988958649,-0.016679611608708466,0.11511480336143869,0.20412254072718003,,624018.0,356203.0,-119000.0,0.5708216750157848,-0.19069962725434203,-121677.0
