Quarter,Date,Revenue,Gross_Profit,Operating_Income,Net_Income,Gross_Margin,Operating_Margin,Revenue_Growth_YoY,Gross_Margin_Delta_YoY,Operating_Margin_Delta_YoY,Cash,Total_Debt,Total_Equity,Current_Assets,Current_Liabilities,Total_Assets,Deferred_Revenue,Net_Debt,Debt_to_Equity,Current_Ratio,ROE,Asset_Turnover,Revenue_Recognition_Quality,Deferred_Revenue_Growth_YoY,TTM_Revenue,TTM_Gross_Profit,TTM_Operating_Income,TTM_Gross_Margin,TTM_Operating_Margin,TTM_Net_Income
2023 FQ2,2023-02-28,8134000.0,661000.0,359000.0,207000.0,0.08126383083353823,0.044135726579788544,0.07692307692307693,0.0006336176732045923,0.002695239356168791,1200000.0,2900000.0,2673000.0,13781000.0,13282000.0,19567000.0,,1700000.0,1.0849233071455293,1.0375696431260353,0.07744107744107744,0.415699902897736,,,,,,,,
2023 FQ3,2023-05-31,8475000.0,697000.0,375000.0,233000.0,0.08224188790560472,0.04424778761061947,0.017651296829971182,0.007914318261032185,0.005703119022723212,1480000.0,3174000.0,2736000.0,13609000.0,12796000.0,19436000.0,,1694000.0,1.1600877192982457,1.0635354798374492,0.0851608187134503,0.436046511627907,,,,,,,,
2023 FQ4,2023-08-31,8458000.0,766000.0,441000.0,155000.0,0.09056514542445022,0.05213998581224876,-0.06334440753045405,0.009834248414483451,0.006846519588549982,1804000.0,2875000.0,2866000.0,14730000.0,12695000.0,19424000.0,,1071000.0,1.0031402651779484,1.160299330445057,0.05408234473133287,0.43544069192751234,,,,,,,,
2024 FQ1,2023-11-30,8387000.0,775000.0,303000.0,194000.0,0.09240491236437344,0.036127339930845354,-0.12952776336274002,0.015290226323896011,-0.0014440145061032708,1550000.0,2876000.0,2535000.0,14654000.0,13030000.0,19414000.0,,1326000.0,1.134516765285996,1.1246354566385264,0.07652859960552268,0.4320078294014629,,,33454000.0,2899000.0,1478000.0,0.08665630417887248,0.04418006815328511,789000.0
2024 FQ2,2024-02-29,6767000.0,630000.0,1131000.0,927000.0,0.09309886212501847,0.1671346239101522,-0.1680599950823703,0.011835031291480239,0.12299889733036368,2566000.0,2878000.0,2658000.0,12470000.0,10691000.0,17123000.0,,312000.0,1.0827689992475547,1.1664016462445048,0.34875846501128666,0.3951994393505811,,,32087000.0,2868000.0,2250000.0,0.08938199270732695,0.07012185620344688,1509000.0
2024 FQ3,2024-05-31,6765000.0,608000.0,261000.0,129000.0,0.08987435328898744,0.038580931263858094,-0.20176991150442478,0.007632465383382719,-0.0056668563467613745,2457000.0,2879000.0,2276000.0,12893000.0,11423000.0,17449000.0,,422000.0,1.2649384885764499,1.1286877352709446,0.056678383128295255,0.38770130093415095,,,30377000.0,2779000.0,2136000.0,0.09148368831681865,0.07031635777068176,1405000.0
2024 FQ4,2024-08-31,6964000.0,663000.0,318000.0,138000.0,0.09520390580126364,0.0456634118322803,-0.1766375029557815,0.0046387603768134195,-0.00647657397996846,2201000.0,2880000.0,1737000.0,12791000.0,11782000.0,17351000.0,,679000.0,1.6580310880829014,1.0856391105075538,0.07944732297063903,0.40136015215261367,,,28883000.0,2676000.0,2013000.0,0.09264965550669944,0.06969497628362704,1388000.0
2025 FQ1,2024-11-30,6994000.0,606000.0,197000.0,100000.0,0.08664569631112382,0.028167000285959393,-0.1660903779658996,-0.0057592160532496245,-0.007960339644885961,2058000.0,2882000.0,1593000.0,13228000.0,12434000.0,17771000.0,,824000.0,1.8091650973006905,1.063857165835612,0.06277463904582549,0.393562545720556,,,27490000.0,2507000.0,1907000.0,0.09119679883594034,0.06937068024736268,1294000.0
2025 FQ2,2025-02-28,6728000.0,576000.0,245000.0,117000.0,0.08561236623067776,0.03641498216409037,-0.005763262893453525,-0.007486495894340708,-0.13071964174606185,1592000.0,2883000.0,1358000.0,12614000.0,12315000.0,17396000.0,,1291000.0,2.1229749631811488,1.024279334145351,0.0861561119293078,0.3867555759944815,,,27451000.0,2453000.0,1021000.0,0.08935922188627009,0.03719354486175367,484000.0
2025 FQ3,2025-05-31,7828000.0,681000.0,403000.0,222000.0,0.08699540112416965,0.051481859989780276,0.15713229859571323,-0.0028789521648177885,0.012900928725922182,1523000.0,2884000.0,1285000.0,13782000.0,14015000.0,18587000.0,,1361000.0,2.2443579766536965,0.9833749554049233,0.17276264591439688,0.4211545703986657,,,28514000.0,2526000.0,1163000.0,0.0885880620046293,0.04078698183348531,577000.0
2025 FQ4,2025-08-31,8252000.0,783000.0,337000.0,218000.0,0.09488608822103732,0.04083858458555502,0.18495117748420448,-0.00031781758022632334,-0.004824827246725283,1933000.0,2885000.0,1513000.0,13720000.0,13714000.0,18543000.0,,952000.0,1.9068076668869796,1.0004375091147732,0.1440846001321877,0.44501968397778136,,,29802000.0,2646000.0,1182000.0,0.08878598751761627,0.039661767666599554,657000.0
2026 FQ1,2025-11-30,8305000.0,742000.0,283000.0,146000.0,0.0893437688139675,0.03407585791691752,0.18744638261366886,0.002698072502843679,0.0059088576309581295,1572000.0,2887000.0,1344000.0,14384000.0,14548000.0,19276000.0,,1315000.0,2.1480654761904763,0.9887269727797635,0.10863095238095238,0.4308466486822992,,,31113000.0,2782000.0,1268000.0,0.08941599974287276,0.04075466846655739,703000.0
