Quarter,Date,Revenue,Gross_Profit,Operating_Income,Net_Income,Gross_Margin,Operating_Margin,Revenue_Growth_YoY,Gross_Margin_Delta_YoY,Operating_Margin_Delta_YoY,Cash,Total_Debt,Total_Equity,Current_Assets,Current_Liabilities,Total_Assets,Deferred_Revenue,Net_Debt,Debt_to_Equity,Current_Ratio,ROE,Asset_Turnover,Revenue_Recognition_Quality,Deferred_Revenue_Growth_YoY,TTM_Revenue,TTM_Gross_Profit,TTM_Operating_Income,TTM_Gross_Margin,TTM_Operating_Margin,TTM_Net_Income
2023 FQ1,2022-10-31,433609.0,351114.0,-80655.0,-99514.0,0.8097479526485843,-0.1860085929950716,0.14554696354457,0.0249192659581583,0.17660656035339095,480617.0,1321864.0,-791049.0,1672095.0,1147799.0,2357422.0,1481576.0,841247.0,-1.6710266999895076,1.4567838097088428,0.12580004525636213,0.18393355114188295,3.4168478975298022,,,,,,,
2023 FQ2,2023-01-31,486495.0,399690.0,-56508.0,-70790.0,0.821570622514106,-0.11615330065057194,0.17772301316206748,0.015162194142914864,0.11328112020151276,406601.0,1186764.0,-782682.0,1691748.0,1112267.0,2371495.0,1526311.0,780163.0,-1.516278641900542,1.5209909131530468,0.09044541716814747,0.20514274750737405,3.1373621517179004,,,,,,,
2023 FQ3,2023-04-30,448581.0,366152.0,-58640.0,-70969.0,0.8162450036894118,-0.13072332533031938,0.11128975518879844,0.01405849927230618,0.09892652677220304,439918.0,1207296.0,-789067.0,1728908.0,1132850.0,2395997.0,1543340.0,767378.0,-1.5300297693351768,1.5261579202895352,0.08994039796367102,0.18722101905803723,3.4404934671776113,,,,,,,
2023 FQ4,2023-07-31,494210.0,413752.0,-11347.0,-13287.0,0.837198761660023,-0.022959875356629772,0.28186439798723867,0.0444198022783765,0.32400023254397714,512929.0,1218165.0,-707419.0,1861734.0,1136108.0,2526915.0,1595032.0,705236.0,-1.7219851318666872,1.6386945607283814,0.018782362362334062,0.19557840291422546,3.2274377289006697,,1862895.0,1530708.0,-207150.0,0.8216823814546713,-0.11119789360108863,-254560.0
2024 FQ1,2023-10-31,511054.0,429095.0,-5706.0,-15853.0,0.8396275149005781,-0.01116516062881809,0.17860561012340612,0.02987956225199373,0.17484343236625352,612462.0,1239189.0,-642211.0,1917947.0,1099571.0,2570640.0,1645232.0,626727.0,-1.9295667623257777,1.7442684465123217,0.024685033423594425,0.1988041888401332,3.219291894789983,0.11046075260398387,1940340.0,1608689.0,-132201.0,0.829075832070668,-0.06813290454250286,-170899.0
2024 FQ2,2024-01-31,565233.0,483677.0,37045.0,32795.0,0.8557125999366633,0.06553934395196317,0.1618475010020658,0.03414197742255731,0.18169264460253512,679246.0,1250434.0,-611682.0,2080437.0,1162822.0,2729534.0,1708494.0,571188.0,-2.0442550214000086,1.7891276566834822,-0.053614459801007715,0.20708040273541198,3.022636682571612,0.11936165041069612,2019078.0,1692676.0,-38648.0,0.8383410645849244,-0.019141410089159507,-67314.0
2024 FQ3,2024-04-30,524577.0,444958.0,-11588.0,-15616.0,0.8482224725826714,-0.02209017932543745,0.16941421950550736,0.031977468893259586,0.10863314600488194,598027.0,1271966.0,-619460.0,2139240.0,1183554.0,2774924.0,1747450.0,673939.0,-2.0533464630484617,1.8074713954749846,0.02520905304620153,0.189041934121439,3.331160153800109,0.13225212850052484,2095074.0,1771482.0,8404.0,0.8455462671008279,0.004011314158831621,-11961.0
2024 FQ4,2024-07-31,547952.0,466974.0,-12188.0,-126101.0,0.8522169825094169,-0.022242824188980055,0.10874324679791991,0.01501822084939386,0.0007170511676497168,655270.0,570073.0,-728148.0,1481294.0,1244341.0,2143918.0,1872706.0,-85197.0,-0.7829081450474354,1.1904244897499963,0.17318045232562612,0.2555844020153756,3.417646071188717,0.17408678948133957,2148816.0,1824704.0,7563.0,0.84916716926903,0.00351961266111198,-124775.0
2025 FQ1,2024-10-31,590956.0,508286.0,27250.0,29926.0,0.8601080283472882,0.04611172405390587,0.15634747013035805,0.02048051344671009,0.05727688468272396,716604.0,570458.0,-685296.0,1523459.0,1220599.0,2181351.0,1894385.0,-146146.0,-0.8324256963414349,1.2481240767852506,-0.04366872125329784,0.27091284254574344,3.205627830159944,0.15143943225028444,2228718.0,1903895.0,40519.0,0.8542556752357184,0.01818040685272879,-78996.0
2025 FQ2,2025-01-31,654721.0,569433.0,65438.0,56427.0,0.8697338255531746,0.09994791674621709,0.15832055099401485,0.014021225616511312,0.03440857279425391,1072161.0,1341388.0,-807674.0,2335394.0,1317554.0,2988990.0,2019537.0,269227.0,-1.6608037401228715,1.7725224165385252,-0.06986358357456102,0.2190442256414374,3.0845764837236014,0.18205682899676556,2318206.0,1989651.0,68912.0,0.8582718705757815,0.029726435010521066,-55364.0
