Quarter,Date,Revenue,Gross_Profit,Operating_Income,Net_Income,Gross_Margin,Operating_Margin,Revenue_Growth_YoY,Gross_Margin_Delta_YoY,Operating_Margin_Delta_YoY,Cash,Total_Debt,Total_Equity,Current_Assets,Current_Liabilities,Total_Assets,Deferred_Revenue,Net_Debt,Debt_to_Equity,Current_Ratio,ROE,Asset_Turnover,Revenue_Recognition_Quality,Deferred_Revenue_Growth_YoY,TTM_Revenue,TTM_Gross_Profit,TTM_Operating_Income,TTM_Gross_Margin,TTM_Operating_Margin,TTM_Net_Income
2023 FQ2,2022-08-07,646772.0,443568.0,14363.0,10922.0,0.6858181863160434,0.022207207485790973,,,,652567.0,0.0,761358.0,2021006.0,1525307.0,3049859.0,1178691.0,-652567.0,0.0,1.324983101762465,0.014345419631763244,0.21206619715862274,1.8224211932489347,,,,,,,
2023 FQ3,2022-11-06,676050.0,466335.0,9133.0,-787.0,0.6897936543155092,0.01350935581687745,,,,795931.0,0.0,840508.0,2208673.0,1623167.0,3252825.0,1248219.0,-795931.0,0.0,1.3607182748293922,-0.0009363385000499697,0.20783472827465357,1.8463412469491902,,,,,,,
2023 FQ4,2023-02-05,810207.0,561317.0,64584.0,74471.0,0.6928068999650706,0.07971296224298235,,,,580854.0,0.0,941233.0,2474857.0,1749868.0,3543460.0,1385650.0,-580854.0,0.0,1.4143106794341058,0.07912068531383834,0.22864855254468797,1.710241950513881,,,,,,,
2024 FQ1,2023-05-07,589307.0,413347.0,-71814.0,-67401.0,0.701411997481788,-0.12186178002297614,-0.050125321362658265,0.014077111399309561,-0.11450045959519106,378285.0,100000.0,905807.0,1867757.0,1106196.0,2959253.0,1395670.0,-278285.0,0.11039879356198395,1.6884503288748105,-0.0744098908487128,0.1991404587576662,2.368324150230695,,2722336.0,1884567.0,16266.0,0.6922609846837422,0.0059750155748592385,17205.0
2024 FQ2,2023-08-06,688671.0,486593.0,-6228.0,-7115.0,0.7065681580900023,-0.009043505534573112,0.0647817159679145,0.020749971773958875,-0.031250713020364085,408900.0,100000.0,986328.0,2041062.0,1203812.0,3133922.0,1437043.0,-308900.0,0.10138615146279939,1.6954989649546608,-0.007213624676578177,0.21974733257560336,2.0866901611945328,0.2191855202084346,2764235.0,1927592.0,-4325.0,0.6973328968050835,-0.0015646281882690872,-832.0
2024 FQ3,2023-11-05,762838.0,552747.0,74211.0,70389.0,0.7245929017694451,0.09728277825698248,0.12837512018341837,0.03479924745393592,0.08377342244010502,529191.0,100000.0,1148455.0,2247026.0,1237901.0,3355509.0,1496507.0,-429191.0,0.08707350309763988,1.8151903908309308,0.06129016809539773,0.22733898195474964,1.96176252362887,0.19891381239990738,2851023.0,2014004.0,60753.0,0.7064145045480166,0.021309193226431353,70344.0
2024 FQ4,2024-02-04,789805.0,568504.0,57382.0,65438.0,0.7198029893454714,0.07265337646634296,-0.025181219120545738,0.026996089380400767,-0.007059585776639399,702536.0,100000.0,1270094.0,2498054.0,1365684.0,3655760.0,1594522.0,-602536.0,0.07873432989999166,1.82915960061039,0.05152217079995654,0.21604399632360988,2.018880609770766,0.15073936419730813,2830621.0,2021191.0,53551.0,0.7140450805671265,0.018918463474975986,61311.0
2025 FQ1,2024-05-05,693479.0,495706.0,-41774.0,-35009.0,0.7148103980077263,-0.06023830570211931,0.17677034211370304,0.013398400525938325,0.061623474320856825,900615.0,100000.0,1373973.0,2447764.0,1226303.0,3623610.0,1601476.0,-800615.0,0.07278163399135208,1.9960515468036855,-0.02548012224403245,0.19137793526345273,2.3093359712406576,0.14746035954057907,2934793.0,2103550.0,83591.0,0.7167626473144784,0.02848275840919615,93703.0
2025 FQ2,2024-08-04,763771.0,540080.0,24878.0,35674.0,0.7071229465376402,0.03257259047541737,0.10905062068825318,0.0005547884476378995,0.041616096009990486,965028.0,100000.0,1453161.0,2553026.0,1282994.0,3781273.0,1623660.0,-865028.0,0.0688154994525727,1.9898970688873059,0.024549241274710785,0.2019877961734051,2.125846621565888,0.12986180650126683,3009893.0,2157037.0,114697.0,0.7166490636045866,0.03810667023711474,136492.0
2025 FQ3,2024-11-03,831072.0,582922.0,59687.0,63639.0,0.7014097454853491,0.07181928882214778,0.0894475629163728,-0.023183156284096063,-0.025463489434834702,894569.0,0.0,1410586.0,2559648.0,1444634.0,3854465.0,1681456.0,-894569.0,0.0,1.771831481191776,0.04511529250963784,0.2156128022955196,2.0232374571637597,0.12358712655537195,3078127.0,2187212.0,100173.0,0.7105658733379097,0.032543491545345596,129742.0
2025 FQ4,2025-02-02,879842.0,594001.0,42467.0,42435.0,0.6751223515131126,0.04826662059778915,0.11399902507580985,-0.04468063783235876,-0.02438675586855381,723583.0,0.0,1306475.0,2567279.0,1596541.0,3963942.0,1795303.0,-723583.0,0.0,1.6080257256155652,0.032480529669530606,0.2219613707768681,2.0404834049749843,0.12591924100137847,3168164.0,2212709.0,85258.0,0.698419968158214,0.026910854362337304,106739.0
2026 FQ1,2025-05-04,778485.0,536153.0,-31171.0,-13995.0,0.6887133342325157,-0.04004059166201018,0.12257905430445623,-0.026097063775210594,0.02019771404010913,739336.0,0.0,1244055.0,2400227.0,1494511.0,3810365.0,1827545.0,-739336.0,0.0,1.6060283263221213,-0.011249502634529824,0.20430719891663923,2.3475661059622217,0.14116290222269956,3253170.0,2253156.0,95861.0,0.6926032147105746,0.029466950697319846,127753.0
