Quarter,Date,Revenue,Gross_Profit,Operating_Income,Net_Income,Gross_Margin,Operating_Margin,Revenue_Growth_YoY,Gross_Margin_Delta_YoY,Operating_Margin_Delta_YoY,Cash,Total_Debt,Total_Equity,Current_Assets,Current_Liabilities,Total_Assets,Deferred_Revenue,Net_Debt,Debt_to_Equity,Current_Ratio,ROE,Asset_Turnover,Revenue_Recognition_Quality,Deferred_Revenue_Growth_YoY,TTM_Revenue,TTM_Gross_Profit,TTM_Operating_Income,TTM_Gross_Margin,TTM_Operating_Margin,TTM_Net_Income
2023 FQ1,2023-02-28,15125371.0,1003567.0,298162.0,167020.0,0.06634990969808277,0.01971270655113187,-0.022275792653085394,0.0037343673478905243,0.005333887500528239,539285.0,4388723.0,8148586.0,19965236.0,15790616.0,29235166.0,,3849438.0,0.5385870628351962,1.2643734734604402,0.020496807666998913,0.5173690821526377,,,,,,,,
2023 FQ2,2023-05-31,14062124.0,963410.0,252883.0,133087.0,0.06851098738711164,0.017983271943840064,-0.07908863978557401,0.005917530803455723,0.0014318338789706744,852079.0,4105112.0,8268770.0,18721193.0,14412986.0,27978948.0,,3253033.0,0.49645981203975925,1.2989114816319116,0.016095138696565512,0.5025965951257353,,,,,,,,
2023 FQ3,2023-08-31,13960615.0,971273.0,240233.0,139262.0,0.06957236482776726,0.01720790953693659,-0.09087407369782077,0.009919790620213705,0.0014790307244007123,1250872.0,4079182.0,8367748.0,19168500.0,15532022.0,28504594.0,,2828310.0,0.48748862895966755,1.2341277909598634,0.016642709603587488,0.4897671933162774,,,,,,,,
2023 FQ4,2023-11-30,14407306.0,1018579.0,286754.0,187542.0,0.0706987829646986,0.019903374024262413,-0.11328507331721767,0.005477106171733179,-0.0006630270315749441,1033776.0,4082778.0,8183182.0,20084436.0,16738762.0,29412814.0,,3049002.0,0.4989230350736425,1.1998758331111943,0.02291797982740699,0.4898309287917844,,,57555416.0,3956829.0,1078032.0,0.06874816090287662,0.018730331129914863,626911.0
2024 FQ1,2024-02-29,13975253.0,1005766.0,302572.0,172128.0,0.07196764165915279,0.02165055616524438,-0.07603899434929563,0.005617731961070016,0.0019378496141125093,1030946.0,4009106.0,8102175.0,18580706.0,15254932.0,27800029.0,,2978160.0,0.494818490096795,1.2180130334242067,0.02124466578418758,0.5027064180400675,,,56405298.0,3959028.0,1082442.0,0.07018893863480696,0.01919043136692585,632019.0
2024 FQ2,2024-05-31,13947908.0,973547.0,263948.0,143605.0,0.06979878272784708,0.01892384148217783,-0.008122243837417449,0.0012877953407354342,0.0009405695383377655,1173648.0,4595698.0,7956460.0,18583712.0,14703062.0,27715794.0,,3422050.0,0.5776058699471875,1.2639348184752264,0.018048855898226097,0.5032476428422004,,,56291082.0,3969165.0,1093507.0,0.07051143554142378,0.019425936776273016,642537.0
2024 FQ3,2024-08-31,14684712.0,961048.0,302879.0,178556.0,0.0654454782633803,0.020625464088093796,0.051867127630122314,-0.00412688656438695,0.0034175545511572064,853923.0,4050202.0,8164083.0,20057783.0,15990394.0,29207547.0,,3196279.0,0.4961000518980515,1.254364526602659,0.021870919244696557,0.5027711502099098,,,57015179.0,3958940.0,1156153.0,0.06943659687536892,0.020277985972823133,681831.0
2024 FQ4,2024-11-30,15844563.0,1040945.0,324812.0,194802.0,0.065697299445873,0.020499902711106643,0.09975890010248967,-0.005001483518825595,0.0005965286868442297,1059378.0,3907491.0,8035434.0,21324696.0,17221235.0,30274479.0,,2848113.0,0.4862825082005527,1.2382791361943555,0.024242872258051027,0.5233636886038567,,,58452436.0,3981306.0,1194211.0,0.06811189186366844,0.02043047444592386,689091.0
2025 FQ1,2025-02-28,14531707.0,998006.0,304459.0,167537.0,0.06867782291509181,0.020951358295346858,0.03981709669227455,-0.0032898187440609794,-0.0006991978698975207,541863.0,4327965.0,8050395.0,19958873.0,15733857.0,28796066.0,,3786102.0,0.5376090241534732,1.2685302148100113,0.02081102852717165,0.5046420924302646,,,59008890.0,3973546.0,1196098.0,0.06733809092155436,0.020269793246407448,684500.0
2025 FQ2,2025-05-31,14946315.0,1046373.0,328139.0,184921.0,0.07000876135689633,0.021954508519323995,0.07158112886893146,0.00020997862904925668,0.0030306670371461654,767099.0,4105705.0,8342367.0,21492779.0,17122402.0,30509182.0,,3338606.0,0.4921510885339856,1.2552432187960545,0.022166490637489336,0.4898956320756158,,,60007297.0,4046372.0,1260289.0,0.06743133255943856,0.02100226244151607,725816.0
2025 FQ3,2025-08-31,15650924.0,1129853.0,383657.0,226795.0,0.07219081761562449,0.02451337697378123,0.06579713650495836,0.006745339352244181,0.0038879128856874334,874350.0,4238842.0,8453801.0,22577914.0,18880734.0,31683202.0,,3364492.0,0.5014125598650832,1.1958175990403763,0.026827577322910724,0.4939817635856376,,,60973509.0,4215177.0,1341067.0,0.06913128453866745,0.021994256554924534,774055.0
2025 FQ4,2025-11-30,17379140.0,1194750.0,398664.0,248407.0,0.06874620953626014,0.02293922484081491,0.0968519611427592,0.0030489100903871302,0.0024393221297082657,2435389.0,4610451.0,8450429.0,25289438.0,20960840.0,34250898.0,,2175062.0,0.5455878038854596,1.2065088040364795,0.029395785705080772,0.5074068422965143,,,62508086.0,4368982.0,1414919.0,0.06989466930726371,0.022635775473912288,827660.0
