Quarter,Date,Revenue,Gross_Profit,Operating_Income,Net_Income,Gross_Margin,Operating_Margin,Revenue_Growth_YoY,Gross_Margin_Delta_YoY,Operating_Margin_Delta_YoY,Cash,Total_Debt,Total_Equity,Current_Assets,Current_Liabilities,Total_Assets,Deferred_Revenue,Net_Debt,Debt_to_Equity,Current_Ratio,ROE,Asset_Turnover,Revenue_Recognition_Quality,Deferred_Revenue_Growth_YoY,TTM_Revenue,TTM_Gross_Profit,TTM_Operating_Income,TTM_Gross_Margin,TTM_Operating_Margin,TTM_Net_Income
2023 FQ2,2023-01-31,387598.0,299994.0,-65238.0,-57453.0,0.7739823218902059,-0.16831356198948394,,,,1257012.0,1140516.0,528657.0,2416109.0,1204004.0,3039956.0,1111880.0,-116496.0,2.1573837100426174,2.0067283829621827,-0.10867727089587388,0.12750118751718775,2.8686422530560014,,,,,,,
2023 FQ3,2023-04-30,418800.0,322951.0,-55746.0,-46046.0,0.7711341929321872,-0.13310888252148997,,,,1275297.0,1140840.0,601274.0,2527250.0,1289142.0,3200712.0,1175373.0,-134457.0,1.8973712483826009,1.9604124293522358,-0.07658072692316648,0.1308458867901892,2.806525787965616,,,,,,,
2023 FQ4,2023-07-31,455006.0,352324.0,-44552.0,-30674.0,0.7743282506164754,-0.09791519232713415,,,,1262206.0,1134159.0,725112.0,2890314.0,1535868.0,3608317.0,1439676.0,-128047.0,1.564115612484692,1.881876567517521,-0.04230243052107812,0.1260992313036798,3.16408135277337,,,,,,,
2024 FQ1,2023-10-31,496703.0,385309.0,-46057.0,-33483.0,0.7757331846193802,-0.09272543149527987,0.3970068738960703,-0.008551918939070369,0.1015858851201982,1361723.0,1134026.0,807525.0,2891590.0,1474418.0,3635584.0,1399544.0,-227697.0,1.4043230859725706,1.9611738326580386,-0.041463731773010125,0.13662261688906102,2.817667700819202,,1758107.0,1360578.0,-211593.0,0.7738880511823228,-0.12035274303554903,-167656.0
2024 FQ2,2024-01-31,524999.0,407800.0,-45457.0,-28469.0,0.7767633843112082,-0.08658492682843205,0.354493573238252,0.0027810624210022894,0.08172863516105189,1438586.0,1141011.0,958856.0,3142708.0,1583905.0,3934226.0,1502175.0,-297575.0,1.1899711739823289,1.9841518272876215,-0.02969058961929633,0.13344403702278415,2.861291164364123,0.3510225923660827,1895508.0,1468384.0,-191812.0,0.774665155726064,-0.10119292559039582,-138672.0
2024 FQ3,2024-04-30,553201.0,434870.0,-3013.0,19124.0,0.7860976390136677,-0.0054464832854604385,0.32091929321872015,0.01496344608148048,0.12766239923602954,1259197.0,1137687.0,1093139.0,2970014.0,1701321.0,4198751.0,1577014.0,-121510.0,1.0407523654356856,1.7457105390458356,0.017494572968305037,0.13175370485175233,2.850707066690046,0.34171365175140145,2029909.0,1580303.0,-139079.0,0.7785092829284466,-0.06851489401741655,-73502.0
2024 FQ4,2024-07-31,592868.0,462663.0,-26950.0,-14878.0,0.7803811303696607,-0.04545699885977992,0.30298941112864447,0.006052879753185358,0.05245819346735423,1423080.0,0.0,1274102.0,3396617.0,3112887.0,4704968.0,1894974.0,-1423080.0,0.0,1.0911468999677791,-0.011677244051104228,0.12600893353578602,3.19628315240492,0.31625032298933925,2167771.0,1690642.0,-121477.0,0.7798987992735396,-0.05603774568439194,-57706.0
2025 FQ1,2024-10-31,627955.0,486493.0,-30667.0,-12051.0,0.7747258959638827,-0.04883630196431273,0.2642464410321661,-0.0010072886554974847,0.04388912953096714,1553645.0,0.0,1428545.0,3393780.0,2963610.0,4709002.0,1783720.0,-1553645.0,0.0,1.1451506777207527,-0.008435856063337173,0.13335203510212992,2.8405220119276064,0.2745008374156154,2299023.0,1791826.0,-106087.0,0.7793858521641585,-0.04614438394048254,-36274.0
2025 FQ2,2025-01-31,647900.0,499402.0,-40140.0,-7724.0,0.7708010495446829,-0.06195400524772341,0.23409758875731193,-0.005962334766525301,0.02463092158070864,1758506.0,0.0,1607346.0,3665206.0,3048866.0,5005968.0,1878505.0,-1758506.0,0.0,1.2021538499888156,-0.004805437037202942,0.1294255177020708,2.899374903534496,0.2505234077254647,2421924.0,1883428.0,-100770.0,0.7776577630016466,-0.04160741625253311,-15529.0
2025 FQ3,2025-04-30,678034.0,522056.0,-25411.0,-4125.0,0.7699554889577809,-0.03747747163121613,0.2256557743026495,-0.016142150055886817,-0.0320309883457557,1990890.0,0.0,1804939.0,3915401.0,3168399.0,5339628.0,1984985.0,-1990890.0,0.0,1.2357663917959827,-0.0022853957945393167,0.12698150507863096,2.9275596798980583,0.2586984009019577,2546757.0,1970614.0,-123168.0,0.7737738622098614,-0.048362682423175825,-38778.0
2025 FQ4,2025-07-31,719226.0,546986.0,-32242.0,-17578.0,0.7605203371402035,-0.044828746457997906,0.21313007279866683,-0.01986079322945722,0.0006282524017820132,2389023.0,1700727.0,1799273.0,4894290.0,2429611.0,6419888.0,2468026.0,-688296.0,0.9452301012686791,2.0144335862819194,-0.00976950134860024,0.11203092639622374,3.431502754349815,0.30240625992757686,2673115.0,2054937.0,-128460.0,0.7687424596397835,-0.048056293874375024,-41478.0
2026 FQ1,2025-10-31,788112.0,603359.0,-36362.0,-11615.0,0.7655751974338673,-0.046138112349513774,0.25504534560597497,-0.009150698530015489,0.0026981896147989584,1338195.0,0.0,1982328.0,4205961.0,2305734.0,6503087.0,2351304.0,-1338195.0,0.0,1.8241310576154925,-0.005859272532093579,0.12119044386150762,2.9834642791887447,0.31820240844975667,2833272.0,2171803.0,-134155.0,0.7665352991170632,-0.04734984851436784,-41042.0
