Company,Ticker
"Nutanix,Inc.",NTNX
"Cloudflare,Inc.",NET
"CrowdStrikeHoldings,Inc.",CRWD
"Zscaler,Inc.",ZS
"PureStorage,Inc.",PSTG
"ElasticN.V.",ESTC
"Fastly,Inc.",FSLY
CelesticaInc.,CLS
FlexLtd.,FLEX
JabilInc.,JBL
TDSYNNEXCorporation,SNX
FairIsaacCorporation,FICO
MSCIInc.,MSCI
Moody'sCorporation,MCO
SAndPGlobalInc.,SPGI
"VeriskAnalytics,Inc.",VRSK
"IntuitiveSurgical,Inc.",ISRG
Medtronicplc,MDT
StrykerCorporation,SYK
"ZimmerBiometHoldings,Inc.",ZBH
"AmericoldRealtyTrust,Inc.",COLD
"DigitalRealtyTrust,Inc.",DLR
IronMountainIncorporated,IRM
PublicStorage,PSA
